"OPEID","INSTNM","CITY","STABBR","ZIP","CONTROL","DISTANCEONLY","TUITFTE","ADM_RATE_ALL","C150_4","DEBT_MDN","NPT4_PUB","NPT4_PRIV","SAT_AVG","PCTFLOAN","UGDS"
2215100,"Hallmark Institute of Photography","Turners Falls","MA","01376-0308",3,0,75695,0.7167,0.46545,5500,8792,73183,1036.5,0.767,69
2575400,"The International Culinary Center","New York","NY","10013-2618",3,0,71074,0.7167,0.46545,6333,8792,56287,1036.5,0.2539,475
332922,"The Dickinson School of Law of the Pennsylvania State University","Carlisle","PA","17013-2861",1,0,88300,0.6488,0.46545,21500,8792,18259,1036.5,0.5926,432.5
332901,"Pennsylvania State University-College of Medicine","Hershey","PA","17033-2360",1,0,88466,0.6488,0.46545,21500,8792,18259,1036.5,0.5926,432.5
886000,"SIT Graduate Institute","Brattleboro","VT","05302-0676",2,0,123492,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
2197600,"Woodrow Wilson Rehabilitation Center","Fishersville","VA","22939-1500",1,0,74228,0.5196,0.46545,9833,22003,18259,1036.5,0,164
2339700,"Ross Medical Education Center-Brighton","Brighton","MI","48116",3,0,155643,0.7167,0.46545,9500,8792,18424,1036.5,0.4048,127
2331301,"Interactive Learning Systems-Houston","Houston","TX","77081-3007",3,0,99979,0.7167,0.46545,4961.5,8792,8697,1036.5,0.2683,30
4156200,"Institute of Advanced Medical Esthetics","Richmond","VA","23294-4701",3,0,118810,0.7167,0.46545,9833,8792,30998,1036.5,0.1765,1
4165200,"Mauna Loa Helicopters","Kailua Kona","HI","96740-2650",3,0,207213,0.7167,0.46545,9833,8792,18259,1036.5,0.0606,19
940702,"Lincoln College of New England-Hartford","Hartford","CT","06105-3630",3,0,87141,0.7167,0.46545,14217,8792,18259,1036.5,0.7826,0
4217600,"Sessions College for Professional Design","Tempe","AZ","85281",3,1,95815,0.9565,0.46545,9833,8792,18259,1036.5,0,70
