"OPEID","INSTNM","CITY","STABBR","ZIP","CONTROL","DISTANCEONLY","TUITFTE","ADM_RATE_ALL","C150_4","DEBT_MDN","NPT4_PUB","NPT4_PRIV","SAT_AVG","PCTFLOAN","UGDS"
100200,"Alabama A & M University","Normal","AL","35762",1,0,9063,0.8989,0.2914,19500,13415,18259,823,0.8204,4051
105200,"University of Alabama at Birmingham","Birmingham","AL","35294-0110",1,0,9033,0.8673,0.5377,16250,14805,18259,1146,0.5397,11200
105500,"University of Alabama in Huntsville","Huntsville","AL","35899",1,0,8322,0.8062,0.4835,16500,17520,18259,1180,0.4728,5525
100500,"Alabama State University","Montgomery","AL","36104-0271",1,0,7813,0.5125,0.2517,15854.5,11936,18259,830,0.8735,5354
101200,"Birmingham Southern College","Birmingham","AL","35254",2,0,11928,0.6422,0.6192,21500,8792,22994,1177,0.4939,1181
100300,"Faulkner University","Montgomery","AL","36109-3378",2,0,10997,0.7167,0.2287,18750,8792,17660,1036.5,0.7427,2358
101900,"Huntingdon College","Montgomery","AL","36106-2148",2,0,9074,0.6279,0.4319,16850,8792,17864,999,0.7227,1100
102000,"Jacksonville State University","Jacksonville","AL","36265",1,0,6192,0.8326,0.3083,16500,16078,18259,1036,0.6811,7195
102900,"University of Mobile","Mobile","AL","36613-2842",2,0,10339,0.7125,0.4904,22500,8792,17970,1058,0.8009,1472
100400,"University of Montevallo","Montevallo","AL","35115-6000",1,0,7161,0.8729,0.4493,15872,15003,18259,1070,0.5872,2610
103300,"Oakwood University","Huntsville","AL","35896",2,0,11909,0.3435,0.3632,22000,8792,26954,924,0.7411,1854
105700,"University of South Alabama","Mobile","AL","36688-0002",1,0,6914,0.8604,0.3342,15000,13027,18259,1064,0.5549,11048
104100,"Spring Hill College","Mobile","AL","36608-1791",2,0,10653,0.4627,0.5632,20500,8792,18555,1100,0.6564,1269
2270400,"Southeastern Bible College","Birmingham","AL","35224-2083",2,0,10496,0.9615,0.1935,19414.5,8792,12954,970,0.7877,160
104400,"Stillman College","Tuscaloosa","AL","35403",2,0,10367,0.43,0.2619,19000,8792,17473,882,0.8145,863
104600,"Talladega College","Talladega","AL","35160",2,0,13302,0.7167,0.824,19000,8792,9062,1036.5,0.928,894
2170600,"United States Sports Academy","Daphne","AL","36526-7055",2,0,13741,0.7167,0.46545,16248,8792,18259,1036.5,0.6068,80
2160305,"Collins College","Phoenix","AZ","85040",3,0,19717,0.7167,0.3773,28354,8792,18259,1036.5,0.9203,254
3120300,"College America-Flagstaff","Flagstaff","AZ","86004",2,0,14468,0.7167,0.4667,17636,8792,20877,1036.5,0.9569,209
2100500,"Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division","Phoenix","AZ","85027",3,0,11054,0.7167,0.46545,16035,8792,19523,1036.5,0.6593,2049
193701,"Ottawa University-Phoenix","Phoenix","AZ","85021",2,0,7555,0.9888,0.46545,17000,8792,18259,1036.5,0.7946,335
2098800,"University of Phoenix-Phoenix Campus","Tempe","AZ","85282-2371",3,0,9946,0.7167,0.1568,18532,8792,18899,1036.5,0.6171,3044
2065300,"Prescott College","Prescott","AZ","86301",2,0,14975,0.7293,0.3768,19874.5,8792,23432,1094,0.6478,540
822100,"Universal Technical Institute of Arizona Inc","Avondale","AZ","85323",3,0,10675,0.7167,0.46545,14094,8792,21445,1036.5,0.6294,2337
2171500,"Western International University","Tempe","AZ","85282",3,0,13780,0.7167,0.1883,20000,8792,20176,1036.5,0.3922,1369
110100,"University of Arkansas at Little Rock","Little Rock","AR","72204",1,0,6265,0.5274,0.2438,14250,10087,18259,1077,0.4818,8504
109700,"Harding University","Searcy","AR","72143",2,0,11636,0.7628,0.6219,19801.5,8792,23534,1139,0.5573,4428
109900,"Hendrix College","Conway","AR","72032-3080",2,0,12547,0.8039,0.6959,19500,8792,22231,1267,0.4487,1428
110000,"John Brown University","Siloam Springs","AR","72761",2,0,9545,0.6982,0.6537,17900,8792,17550,1144,0.5333,1770
110200,"Ouachita Baptist University","Arkadelphia","AR","71998-0001",2,0,10088,0.7011,0.6022,15000,8792,16424,1090,0.5033,1513
110300,"Philander Smith College","Little Rock","AR","72202-3799",2,0,7674,0.7167,0.4462,19000,8792,19029,1036.5,0.8784,554
1215400,"California Institute of Integral Studies","San Francisco","CA","94103",2,0,17177,0.7167,0.46545,18750,8792,18259,1036.5,0.828,75
2110800,"California College San Diego","San Diego","CA","92111-1009",2,0,16010,0.7167,0.5845,20000,8792,22956,1036.5,0.6289,762
113400,"California Maritime Academy","Vallejo","CA","94590",1,0,8025,0.748,0.5871,21500,16974,18259,1080,0.6043,1044
673100,"Casa Loma College-Van Nuys","Van Nuys","CA","91405",2,0,8512,1,0.46545,16838,8792,25630,1036.5,0.6684,606
2070500,"Concordia University-Irvine","Irvine","CA","92612-3203",2,0,12540,0.9119,0.6256,18112,8792,25416,1020,0.6231,1916
729600,"Coleman University","San Diego","CA","92123-1506",2,0,10081,1,0.5116,19598.5,8792,26043,1036.5,0.6057,532
125300,"Fresno Pacific University","Fresno","CA","93702-4709",2,0,14221,0.7844,0.5412,16802,8792,15403,979,0.6928,2496
114900,"Humboldt State University","Arcata","CA","95521-8299",1,0,5300,0.8018,0.4004,15000,14715,18259,1008,0.605,7748
121200,"Humphreys College-Stockton and Modesto Campuses","Stockton","CA","95207-3896",2,0,8460,0.7167,0.931,22326,8792,14877,1036.5,0.922,757
2520300,"Interior Designers Institute","Newport Beach","CA","92660",3,0,16927,0.7167,0.46545,28250,8792,18259,1036.5,0.3628,293
448400,"John F Kennedy University","Pleasant Hill","CA","94523-4817",2,0,19566,0.7167,0.46545,21998,8792,18259,1036.5,0.8618,271
121600,"University of La Verne","La Verne","CA","91750-4401",2,0,16881,0.3895,0.5928,22218,8792,20847,1035,0.6816,5128
122000,"The Master's College and Seminary","Santa Clarita","CA","91321-1200",2,0,12657,0.6137,0.5362,15750,8792,24711,1104,0.5335,1112
369110,"Monterey Institute of International Studies","Monterey","CA","93940",2,0,12643,0.1716,0.46545,17777.5,8792,18259,1036.5,0.5909,22
1146000,"National University","La Jolla","CA","92037-1011",2,0,8423,0.7167,0.3125,14094,8792,22000,1036.5,0.3903,9788
125200,"Hope International University","Fullerton","CA","92831-3199",2,0,11581,0.4681,0.4508,17250,8792,23811,951,0.7576,872
125500,"Pacific Oaks College","Pasadena","CA","91103",2,0,13965,0.7167,0.46545,18750,8792,18259,1036.5,0.8636,415
125800,"Pacific Union College","Angwin","CA","94508-9707",2,0,16425,0.5055,0.4452,20832,8792,22809,1017,0.8453,1601
128100,"William Jessup University","Rocklin","CA","95765-3707",2,0,14067,0.6929,0.5614,17000,8792,18601,1039,0.8951,1029
2577900,"Santa Barbara Business College-Bakersfield","Bakersfield","CA","93309",3,0,16212,0.7167,0.6684,17666,8792,17465,1036.5,0.79,543
2188400,"Sierra Valley College of Court Reporting","Fresno","CA","93726",3,0,7735,0.7167,0.46545,19317,8792,21249,1036.5,0.7255,137
177212,"Trinity Law School","Santa Ana","CA","92705",2,0,17598,0.9372,0.46545,20422,8792,18259,1036.5,0.5926,432.5
129100,"Simpson University","Redding","CA","96003-8606",2,0,12950,0.555,0.4724,16666,8792,17760,1030,0.9457,1024
115600,"Sonoma State University","Rohnert Park","CA","94928-3609",1,0,6880,0.8186,0.5392,14592,17350,18259,1006,0.4143,8321
2277400,"South Coast College","Orange","CA","92868-2609",3,0,9455,0.7167,0.46545,21148.5,8792,18648,1036.5,0.8204,374
129300,"Vanguard University of Southern California","Costa Mesa","CA","92626",2,0,15125,0.6977,0.5232,19895,8792,22491,980,0.7302,2057
2358000,"Thomas Aquinas College","Santa Paula","CA","93060",2,0,12168,0.7921,0.7955,15500,8792,20155,1243,0.7486,366
1267000,"Bel-Rea Institute of Animal Technology","Denver","CO","80247",3,0,5648,0.6754,0.46545,20919,8792,21736,1036.5,0.7493,576
450800,"University of Colorado Denver","Denver","CO","80217-3364",1,0,12112,0.7587,0.4129,16750,13594,18259,1073,0.3877,10470
729700,"Redstone College","Broomfield","CO","80021-3465",3,0,15337,0.7167,0.46545,17498.5,8792,21505,1036.5,0.7066,434
134800,"Colorado School of Mines","Golden","CO","80401",1,0,17863,0.3743,0.6969,22625,24980,18259,1298,0.4771,4197
1157200,"Colorado School of Trades","Lakewood","CO","80215-2996",3,0,13715,0.7167,0.46545,17990,8792,14802,1036.5,0.5421,182
1014800,"Colorado Technical University-Colorado Springs","Colorado Springs","CO","80907-3812",3,0,14443,0.7167,0.2174,15834,8792,18782,1036.5,0.6049,1200
2594300,"College America-Denver","Denver","CO","80222",2,0,15068,0.7167,0.3387,20000,8792,16059,1036.5,0.8606,497
754800,"Westwood College-Denver North","Denver","CO","80221",3,0,14665,0.7167,0.3231,25640,8792,19523,1036.5,0.8,438
134900,"University of Northern Colorado","Greeley","CO","80639",1,0,9051,0.6957,0.4638,14250,16679,18259,1029,0.592,9525
136300,"Regis University","Denver","CO","80221-1099",2,0,18145,0.6986,0.5807,20501,8792,21046,1087,0.5635,4930
137400,"Albertus Magnus College","New Haven","CT","06511-1189",2,0,12190,0.6821,0.6063,26313,8792,22320,830,0.7824,1278
618100,"Bridgeport Hospital School of Nursing","Bridgeport","CT","6610",2,0,8746.5,0.7167,0.46545,16000,8792,24405,1036.5,1,171
137800,"Central Connecticut State University","New Britain","CT","6050",1,0,7671,0.6413,0.5191,16852.5,15772,18259,1006,0.5918,9512
142500,"Eastern Connecticut State University","Willimantic","CT","6226",1,0,6540,0.6453,0.508,17500,18364,18259,1017,0.6099,4920
1287700,"Sanford-Brown College-Farmington","Farmington","CT","6032",3,0,12818,0.7167,0.46545,17028,8792,18259,1036.5,0.8456,62
745900,"Paier College of Art Inc","Hamden","CT","06514-3902",3,0,11202,0.7167,0.5882,19000,8792,13153,1036.5,0.6094,137
619100,"St Vincent's College","Bridgeport","CT","06606-4201",2,0,14428,0.7167,0.8333,14250,8792,17343,1036.5,0.6092,772
140600,"Southern Connecticut State University","New Haven","CT","06515-1355",1,0,8775,0.7542,0.4944,17404,14750,18259,921,0.6169,8257
